,Title,DOI,Link,Abstract,Author Keywords,Index Keywords,FSC_stage
177,wild bees as winners and losers: relative impacts of landscape composition quality and climate,10.1111/gcb.15485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099244324&doi=10.1111%2fgcb.15485&partnerID=40&md5=32339ce8b7f0c93dc93c99548e37cbec,wild bees like many other taxa are threatened by land-use and climate change which in turn jeopardizes pollination of crops and wild plants understanding how land-use and climate factors interact is critical to predicting and managing pollinator populations and ensuring adequate pollination services but most studies have evaluated either land-use or climate effects not both furthermore bee species are incredibly variable spanning an array of behavioral physiological and life-history traits that can increase or decrease resilience to land-use or climate change thus there are likely bee species that benefit while others suffer from changing climate and land use but few studies have documented taxon-specific trends to address these critical knowledge gaps we analyzed a long-term dataset of wild bee occurrences from maryland delaware and washington dc usa examining how different bee genera and functional groups respond to landscape composition quality and climate factors despite a large body of literature documenting land-use effects on wild bees in this study climate factors emerged as the main drivers of wild-bee abundance and richness for wild-bee communities in spring and summer/fall temperature and precipitation were more important predictors than landscape composition landscape quality or topography however relationships varied substantially between wild-bee genera and functional groups in the northeast usa past trends and future predictions show a changing climate with warmer winters more intense precipitation in winter and spring and longer growing seasons with higher maximum temperatures in almost all of our analyses these conditions were associated with lower abundance of wild bees wild-bee richness results were more mixed including neutral and positive relationships with predicted temperature and precipitation patterns thus in this region and undoubtedly more broadly changing climate poses a significant threat to wild-bee communities © 2021 the authors global change biology published by john wiley & sons ltd,apoidea climate change exotic species land use precipitation temperature urbanization wild bees,anthropogenic effect bee climate change climate effect community response functional group growing season land use landscape structure pollination precipitation climatology species richness temperature gradient urbanization delaware district of columbia maryland united states washington district of columbia apoidea animal bee crop maryland pollination season temperature animals bees crops agricultural maryland pollination seasons temperature,food production
179,evaluating the contribution of sentinel-2 view and illumination geometry to the accuracy of retrieving essential crop parameters,10.1080/15481603.2022.2163046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145504720&doi=10.1080%2f15481603.2022.2163046&partnerID=40&md5=90917966ff9d9d5d2714c637220772a5,wide field-of-view fov sensors such as sentinel-2 exhibit per-pixel view and illumination geometry variation that may influence the retrieval accuracy of essential crop biophysical and biochemical variables bvs for precision agriculture however this aspect is rarely studied in the existing literature hence the current study aimed to evaluate the contribution of view and illumination geometries to the accuracy of retrieving leaf chlorophyll a and b lcab canopy chlorophyll content ccc and leaf area index lai using the random forest rf the experiments were performed on various input variable scenarios where per-pixel geometric covariates ie view and sun zenith angles vza and sza respectively and relative azimuth angle raa are excluded and included in spectral bands sb and spectral vegetation indices svis respectively in two semi-arid areas the results showed that spectral bands or vegetation indices combined with geometric covariates improved the r 2 by 10–15% for lai and 3–5% for ccc in contrast negligible improvements of 1–2% were achieved for lcab with cross-validation test data and independent held-out dataset respectively in agreement with previous studies vza and sza were among the topmost influential variables in the rf models for estimating lai lcab and ccc collectively per-pixel geometric variables explained more than 30% of the variability in surface reflectance for all sentinel-2 spectral bands p &lt 22e-16 overall the results showed that incorporating geometric covariates improved the accuracy of retrieving bvs thus it provided additional information that improves the predictive power of sb and svis the significant benefits of the geometric variables were mainly realized for canopy-level bvs ie lai and ccc than for lcab therefore it is recommended to incorporate per-pixel view and illumination geometry in estimating lai and ccc especially when using wide-view sensors such as sentinel-2 however further testing in different phenology site and acquisition conditions is needed to confirm the contribution of the geometric covariates to facilitate reliable retrieval of bvs from remotely sensed data and aid better agronomic decisions © 2023 the authors published by informa uk limited trading as taylor & francis group,chlorophyll content leaf area index random forest red-edge vegetation indices sentinel-2 sun-sensor geometry,accuracy assessment algorithm chlorophyll geometry leaf area index sentinel vegetation index,food production
180,estimating crop biophysical parameters using machine learning algorithms and sentinel-2 imagery,10.3390/rs13214314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118479866&doi=10.3390%2frs13214314&partnerID=40&md5=01006e733636d7e98dc306e7c02047c7,global food security is critical to eliminating hunger and malnutrition in the changing climate farmers in developing countries must adopt technologies and farming practices such as precision agriculture pa pa-based approaches enable farmers to cope with frequent and intensified droughts and heatwaves optimising yields increasing efficiencies and reducing operational costs biophysical parameters such as leaf area index lai leaf chlorophyll content lcab and canopy chlorophyll content ccc are essential for characterising field-level spatial variability and thus are necessary for enabling variable rate application technologies precision irrigation and crop monitoring moreover robust machine learning algorithms offer prospects for improving the estimation of biophysical parameters due to their capability to deal with non-linear data small samples and noisy variables this study compared the predictive performance of sparse partial least squares spls random forest rf and gradient boosting machines gbm for estimating lai lcab and ccc with sentinel-2 imagery in bothaville south africa and identified using variable importance measures the most influential bands for estimating crop biophysical parameters the results showed that rf was superior in estimating all three biophysical parameters followed by gbm which was better in estimating lai and ccc but not lcab where spls was relatively better since all biophysical parameters could be achieved with rf it can be considered a good contender for operationalisation overall the findings in this study are significant for future biophysical product development using rf to reduce reliance on many algorithms for specific parameters thus facilitating the rapid extraction of actionable information to support pa and crop monitoring activities © 2021 by the authors licensee mdpi basel switzerland,canopy chlorophyll content gradient boosting machine leaf area index leaf chlorophyll content random forest sentinel-2 sparse partial least squares,adaptive boosting biophysics chlorophyll decision trees developing countries food supply least squares approximations parameter estimation time series canopy chlorophyll canopy chlorophyll content chlorophyll contents gradient boosting gradient boosting machine leaf area index leaf chlorophyll content random forests sentinel-2 sparse partial least squares crops,food production
181,underwater fish detection and counting using mask regional convolutional neural network,10.3390/w14020222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122884021&doi=10.3390%2fw14020222&partnerID=40&md5=453fa3de62db1c0123999915f7b75fcf,fish production has become a roadblock to the development of fish farming and one of the issues encountered throughout the hatching process is the counting procedure previous research has mainly depended on the use of non‐machine learning‐based and machine learning-based counting methods and so was unable to provide precise results in this work we used a robotic eye camera to capture shrimp photos on a shrimp farm to train the model the image data were classified into three categories based on the density of shrimps: low density medium density and high density we used the parameter calibration strategy to discover the appropriate parameters and provided an improved mask regional convolutional neural network mask r‐ cnn model as a result the enhanced mask r‐cnn model can reach an accuracy rate of up to 9748% © 2022 by the authors licensee mdpi basel switzerland,counting deep learning machine learning shrimp detection underwater fish,convolution convolutional neural networks deep learning classifieds convolutional neural network counting deep learning eye camera fish farming fish production image data shrimp detection underwater fish fish accuracy assessment artificial neural network calibration crustacean detection method fish culture hatchery hatching,food production
186,advanced practice-aided tile drain configuration: a solution to achieving environmentally sustainable agricultural production,10.1016/j.jclepro.2022.134724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140341873&doi=10.1016%2fj.jclepro.2022.134724&partnerID=40&md5=784959a039343ac7ad1aae179695126c,alternatives to conventional crop production practices are needed to achieve environmental sustainability because tile-drained crop production systems in the midwestern united states are one of the single largest contributors to environmental degradation we explored alternative tile drain configurations by changing the tile spacing and depth of tile-drained fields in central illinois and then by evaluating comprehensively the impacts of different tile drain configurations on crop productivity and environmental sustainability using the root zone water quality model 2 rzwqm2 an analytic hierarchy process ahp which is a multicriteria decision analysis mcda tool was used to evaluate the optimum tile spacing and depth scenario the model simulations and ahp tested three management schemes designated as “agricultural productivity” ap “environmental sustainability” es and “advance in technology” at the schemes were designed based on three criteria: operational cost crop profit and environmental control analysis showed that deeper tiles and narrower tile spacing resulted in decreases in flow and nitrate loss from runoff seepage sp and lateral flow lf and increases in tile flow total nitrate loss and crop yields on the basis of mcda the ap management scheme resulted in higher cp and total nitrate loss whereas opposite outcomes were generated by the es management scheme under the at management scheme higher ranked scenarios resulted in higher cp and lower total amounts of nitrate entering streams our analysis indicates that the at scheme can simultaneously enhance crop production and es through advances in tile drainage water treatment © 2022 elsevier ltd,crop profits decision-making nitrate loss tile drainage impacts,analytic hierarchy process crops cultivation environmental management hierarchical systems nitrates productivity profitability sustainable development water quality crop production crop profit decisions makings environmental sustainability management scheme nitrate loss tile drainage tile drainage impact tile drains tile spacing decision making,food production
187,deep learning based cotton leaf disease detection,10.1109/TQCEBT54229.2022.10041630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149172688&doi=10.1109%2fTQCEBT54229.2022.10041630&partnerID=40&md5=68da3b1a4a31d33b3117b98338144181,one of the most widely grown crops in the world cotton provides a living for many farmers and is essential to the growth of the international economy however the actual production of cotton is frequently hampered by a number of problems with sick cotton leaves ranking highly among them in order to detect unhealthy cotton leaves our research uses three distinct deep learning models including cnn inceptionv3 and resnet 152 v2 to categorize cotton leaves or plants as fresh or diseased the accuracy results for cnn inception v3 and resnet 152v2 are respectively 99057 97170 and 98113 highlighting the significant contribution these approaches can make to solving this issue © 2022 ieee,cnn cotton inceptionv3 leaf disease resnet,deep learning plants botany inceptionv3 international economy leaf disease leaf disease detections learning models research use resnet cotton,food production
189,prediction of arabica coffee production using artificial neural network and multiple linear regression techniques,10.1038/s41598-022-18635-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136620773&doi=10.1038%2fs41598-022-18635-5&partnerID=40&md5=d1521a77cb2b39fb291b4a2ca035251a,crop yield and its prediction are crucial in agricultural production planning this study investigates and predicts arabica coffee yield in order to match the market demand using artificial neural networks ann and multiple linear regression mlr data of six variables including areas productivity zones rainfalls relative humidity and minimum and maximum temperature were collected for the recent 180 months between 2004 and 2018 the predicted yield of the cherry coffee crop continuously increases each year from the dataset it was found that the prediction accuracy of the r2 and rmse from ann was 09524 and 00784 tons respectively the ann model showed potential in determining the cherry coffee yields © 2022 the authors,blank,article artificial neural network cherry coffee crop nonhuman prediction productivity relative humidity agriculture coffea statistical model agriculture coffea coffee linear models neural networks computer,food production
191,investment model of agricultural biogas plants for individual farms in poland,10.3390/en14217375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118611795&doi=10.3390%2fen14217375&partnerID=40&md5=8e196167c7dbaf1d95585c5be0b54311,the main idea of a circular economy ce is to separate economic growth from resource consumption and environmental impacts the characteristic approach of a ce assumes the minimisation of the amount of waste generated at the design level and as a standard includes innovations throughout the value chain from an agricultural point of view agricultural biogas plants are particularly important because they enable the management of all waste biomass and its conversion into useful energy and agricultural fertiliser this paper presents methods for assessing the economic effectiveness of an investment in an agricultural biogas plant the research goal was to develop a financial model the authors of this study used available examples of the profitability of commercial ventures we considered the investment aspects of agricultural biogas plants exemplary solutions are discussed allowing the reader to become acquainted with various methods and proposals for thus far estimated investments it may seem chaotic but this is how the biogas market is characterised in the context of the implementation of biogas projects guidance is given regarding how to understand investing in this sensitive private farming sector it is admirable that the renewable energy market has been systematised and we hypothesise that it is necessary to develop an investment model in polish conditions © 2021 by the authors licensee mdpi basel switzerland,agricultural biogas assessment methods circular economy investment production profitability,agricultural robots biogas commerce environmental impact investments profitability waste management agricultural biogas assessment method biogas plants circular economy design levels economic growths investment models minimisation resources consumption value chains agriculture,food production
192,digital food twins combining data science and food science: system model applications and challenges †,10.3390/pr10091781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138701337&doi=10.3390%2fpr10091781&partnerID=40&md5=6dcb977dd71177431f1ef921cbdfb5cb,the production of food is highly complex due to the various chemo-physical and biological processes that must be controlled for transforming ingredients into final products further production processes must be adapted to the variability of the ingredients eg due to seasonal fluctuations of raw material quality digital twins are known from industry 40 as a method to model simulate and optimize processes in this vision paper we describe the concept of a digital food twin due to the variability of the raw materials such a digital twin has to take into account not only the processing steps but also the chemical physical or microbiological properties that change the food independently from the processing we propose a hybrid modeling approach which integrates the traditional approach of food process modeling and simulation of the bio-chemical and physical properties with a data-driven approach based on the application of machine learning this work presents a conceptual framework for our digital twin concept based on explainable artificial intelligence and wearable technology we discuss the potential in four case studies and derive open research challenges © 2022 by the authors,artificial intelligence digital twin food processing industry 40 machine learning self-aware computing systems,blank,food production
193,machine learning technology in biohydrogen production from agriculture waste: recent advances and future perspectives,10.1016/j.biortech.2022.128076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139726534&doi=10.1016%2fj.biortech.2022.128076&partnerID=40&md5=65801dfa395701bafececa5d5172d156,agricultural waste biomass has shown great potential to deliver green energy produced by biochemical and thermochemical conversion processes to mitigate future energy crises biohydrogen has become more interested in carbon-free and high-energy dense fuels among different biofuels however it is challenging to develop models based on experience or theory for precise predictions due to the complexity of biohydrogen production systems and the limitations of human perception recent advancements in machine learning ml may open up new possibilities for this reason this critical study offers a thorough understanding of ml's use in biohydrogen production the most recent developments in ml-assisted biohydrogen technologies including biochemical and thermochemical processes are examined in depth this review paper also discusses the prediction of biohydrogen production from agricultural waste finally the techno-economic and scientific obstacles to ml application in agriculture waste biomass-based biohydrogen production are summarized © 2022 elsevier ltd,agriculture waste biochemical and thermochemical biohydrogen production machine learning,agricultural wastes agriculture biofuels energy policy fossil fuels hydrogen fuels agriculture wastes bio-hydrogen bio-hydrogen production biochemical and thermochemical future perspectives green energy machine learning technology machine-learning thermochemicals waste biomass hydrogen production biofuel carbon hydrogen biochemical composition biofuel future prospect machine learning prediction solid waste thermochemistry agricultural waste article artificial neural network bioenergy biomass bioprocess energy yield fermentation machine learning nonhuman theoretical study,food production
194,comparison of machine learning-based prediction of qualitative and quantitative digital soil-mapping approaches for eastern districts of tamil nadu india,10.3390/land11122279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144898875&doi=10.3390%2fland11122279&partnerID=40&md5=893d30a78f68b465b3023e7fa3fba44e,the soil–environmental relationship identified and standardised over the years has expedited the growth of digital soil-mapping techniques hence various machine learning algorithms are involved in predicting soil attributes therefore comparing the different machine learning algorithms is essential to provide insights into the performance of the different algorithms in predicting soil information for indian landscapes in this study we compared a suite of six machine learning algorithms to predict quantitative cubist decision tree k-nn multiple linear regression random forest support vector regression and qualitative c50 k-nn multinomial logistic regression naïve bayes random forest support vector machine soil information separately at a regional level the soil information including the quantitative ph oc and cec and qualitative order suborder and great group attributes were extracted from the legacy soil maps using stratified random sampling procedures a total of 4479 soil observations sampled were non-spatially partitioned and intersected with 39 environmental covariate parameters the predicted maps depicted the complex soil–environmental relationships for the study area at a 30 m spatial resolution the comparison was facilitated based on the evaluation metrics derived from the test datasets and visual interpretations of the predicted maps permutation feature importance analysis was utilised as the model-agnostic interpretation tool to determine the contribution of the covariate parameters to the model’s calibration the r2 values for the ph oc and cec ranged from 019 to 038 004 to 013 and 014 to 040 whereas the rmse values ranged from 075 to 086 025 to 026 and 884 to 1049 respectively irrespective of the algorithms the overall accuracy percentages for the soil order suborder and great group class ranged from 31 to 67 26 to 65 and 27 to 65 respectively the tree-based ensemble random forest and rule-based tree models’ cubist and c50 algorithms efficiently predicted the soil properties spatially however the efficiency of the other models can be substantially increased by advocating additional parameterisation measures the range and scale of the quantitative soil attributes in addition to the sampling frequency and design greatly influenced the model’s output the comprehensive comparison of the algorithms can be utilised to support model selection and mapping at a varied scale the derived digital soil maps will help farmers and policy makers to adopt precision information for making decisions at the farm level leading to productivity enhancements through the optimal use of nutrients and the sustainability of the agricultural ecosystem ensuring food security © 2022 by the authors,digital soil mapping machine learning model comparison scorpan soil spatial predictions,blank,food production
195,disease detection severity prediction and crop loss estimation in maizecrop using deep learning,10.1016/j.aiia.2022.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146235933&doi=10.1016%2fj.aiia.2022.11.002&partnerID=40&md5=e86c3133d6887fbfba88f6bd4e627508,the increasing gap between the demand and productivity of maize crop is a point of concern for the food industry and farmers its' susceptibility to diseases such as turcicum leaf blight and rust is a major cause for reducing its production manual detection and classification of these diseases calculation of disease severity and crop loss estimation is a time-consuming task also it requires expertise in disease detection thus there is a need to find an alternative for automatic disease detection severity prediction and crop loss estimation the promising results of machine learning and deep learning algorithms in pattern recognition object detection and data analysis motivate researchers to employ these techniques for disease detection classification and crop loss estimation in maize crop the research works available in literature have proven their potential in automatic disease detection using machine learning and deep learning models but there is a lack none of these works a reliable and real-life labelled dataset for training these models also none of the existing works focus on severity prediction and crop loss estimation the authors in this manuscript collect the real-life dataset labelled by plant pathologists they propose a deep learning-based framework for pre-processing of dataset automatic disease detection severity prediction and crop loss estimation it uses the k-means clustering algorithm for extracting the region of interest next they employ the customized deep learning model ‘maizenet’ for disease detection severity prediction and crop loss estimation the model reports the highest accuracy of 9850% also the authors perform the feature visualization using the grad-cam now the proposed model is integrated with a web application to provide a user-friendly interface the efficacy of the model in extracting the relevant features a smaller number of parameters low training time high accuracy favors its importance as an assisting tool for plant pathology expertsthe copyright for the associated web application ‘maize-disease-detector’ is filed with diary number: 17006/2021-co/sw © 2022,crop loss deep learning disease detection maize severity,blank,food production
198,multifactorial evolutionary prediction of phenology and pests: can machine learning help?,blank,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107141126&partnerID=40&md5=bf650ea743bc076a753522cf5179882f,agriculture is a key primary sector of economy developing and applying techniques that support a sustainable development of the fields and maximize their productivity while guaranteeing the maximum levels of health and quality of the crops is necessary precision agriculture refers to the use of technology to help in the decision-making process and can lead to the achievement of these goals in this position paper we argue that machine learning ml techniques can provide significant benefits to precision agriculture but that there exist obstacles that are preventing their widespread adoption and effective application particularly we focus on the prediction of phenology changes and pests due to their important to ensure the quality of the crops we analyze the state of the art present the existing challenges and outline our specific research goals copyright © 2020 by scitepress - science and technology publications lda all rights reserved,big data machine learning phenology forecast remote sensing smart farming,agricultural robots biology crops decision making information systems information use precision agriculture predictive analytics decision making process maximum levels position papers research goals state of the art machine learning,food production
202,exploring available input variables for machine learning models to predict biogas production in industrial-scale biogas plants treating food waste,10.1016/j.jclepro.2022.135074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141815689&doi=10.1016%2fj.jclepro.2022.135074&partnerID=40&md5=56fc617de823d372d1511ed4b89383f3,anaerobic digestion ad of food waste fw has been widely used in china and shows great potential in both recovering renewable energy and reducing carbon emissions unfortunately many digesters suffer from unexpected perturbations and low biogas production due to the specific characteristics of food waste modeling of ad is crucial to better understand the process and improve efficiency in this study five machine learning ml algorithms were used to build models to predict biogas production in an industrial-scale biogas plant treating fw three categories of routine monitoring indicators feed amount feedstock properties and digester properties individually or collectively were used as the input variables the results showed that the random forest rf model achieved the best performance with an average r2 of 074 when all the indicators were contained in the dataset feature importance analysis revealed that the significance descended in the order of feed amount 459% digester properties 386% and feedstock properties 154% the performance of the predictive models degraded with lag time except for the rf model which showed the potential to predict biogas production of the next day r2 = 073 the study verified the feasibility of ml models in predicting biogas yield using routine monitoring data from industrial-scale biogas plants treating fw and suggested that the monitoring indicators and frequency be redesigned to build smarter ml predictive models and improve system efficiency © 2022 elsevier ltd,anaerobic digestion biogas plant operation machine learning online monitoring random forest,biogas decision trees e-learning feedstocks forecasting industrial plants machine learning random forests biogas plant operation biogas plants biogas production food waste industrial scale input variables machine-learning online monitoring plant operations random forests anaerobic digestion,food production
204,data-driven based in-depth interpretation and inverse design of anaerobic digestion for ch4-rich biogas production,10.1021/acsestengg.1c00316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128191881&doi=10.1021%2facsestengg.1c00316&partnerID=40&md5=e3ddb227e03a959ddd0542d2c8476a5a,anaerobic digestion ad is one of the most widely used bioconversion technologies for renewable energy production from wet biowaste however such an ad system is so complicated that it is challenging to fully comprehend this process and design the operational conditions for a specific biowaste to achieve ch4-rich biogas in this context ensemble machine learning ml algorithms were employed to develop multitask models for jointly predicting the ch4 yield and content in biogas and understanding this complicated process based on the best ensemble model with the r2 values of 082 and 086 for the multitask prediction of ch4 yield and content the top three critical factors for ch4 yield/contents were identified and their interactions with process acid generation and microbial community in the ad process were comprehensively interpreted to unveil their importance on ch4 generation moreover the well-developed ensemble model was integrated with an optimization algorithm to inversely design the ad process for a real-world food waste in which the ch4 yield was as high as 4687 ml/gvs and the calculation results were experimentally validated with relative errors of 9-16% this work provides a creative approach to gain insights and inverse design for ad reactors which is helpful to waste-to-energy technologists and practitioners © 2022 american chemical society,anaerobic fermentation ensemble machine learning inverse experimental design microbial community waste to energy,blank,food production
205,temporal-spatial changes of monthly vegetation growth and their driving forces in the ancient yellow river irrigation system china,10.1016/j.jconhyd.2021.103911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118838135&doi=10.1016%2fj.jconhyd.2021.103911&partnerID=40&md5=5220fb84a19e2401b0ed58e9a30d809c,irrigation systems play vital roles not only in food production but also in supporting ecosystems understanding how the ecosystem has evolved in response to human activities is crucial for sustainable food production especially for arid and semi-arid regions in this study we examined the trends of vegetation growth on a monthly basis in the ancient yellow river irrigation system in ningxia china we used the leaf area index lai to characterize the vegetation growth from 2007 to 2019 the lai trends were associated with a series of driving forces explaining the spatial and temporal change of vegetation growth with the provision of the wilks feature importance method 2-month averaged air temperature and irrigation were identified as the two most important variables for monthly lai simulation future climate projections based on the regional climate model system regcm suggested dryer and longer summers under the rcp 85 scenario these changes will increase the crop water demand during the growing months in the future water conflict might be further intensified in may in which the present irrigation water has already led to a decreased crop growth our findings demonstrated that the mann kendall monthly trend analysis could provide more helpful information for monitoring the vegetation growth than the trend analysis on a yearly and seasonal basis © 2021 elsevier bv,leaf area index mann kendall trend analysis reginal climate model projection stepwise clustered analysis,crops ecosystems irrigation vegetation driving forces irrigation systems leaf area index mann kendall trend analyse mann-kendall trends reginal climate model projection stepwise clustered analyse trend analysis vegetation growth yellow river climate models water climate modeling cluster analysis crop production environmental change growth rate irrigation system leaf area index regional climate spatiotemporal analysis trend analysis vegetation structure air temperature article china climate change crop cropland irrigation agriculture leaf area plant growth river seasonal variation simulation spatiotemporal analysis summer trend study vegetation ecosystem human season china yellow river china climate change ecosystem humans rivers seasons,food production
206,apple disease recognition based on convolutional neural networks with modified softmax,10.3389/fpls.2022.820146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130405391&doi=10.3389%2ffpls.2022.820146&partnerID=40&md5=4ac8a644a0f47a1c45619b4053db552d,accurate and rapid identification of apple diseases is the basis for preventing and treating the apple diseases and is very significant for assessing disease disaster apple disease recognition from its diseased leaf images is one of the interesting research areas in computer and agriculture field an apple disease recognition method is proposed based on modified convolutional neural networks mcnn in mcnn inception is introduced into mcnn global average pooling gap operator is employed instead of several fully connected layers to speedup training model and modified softmax classifier is used in the output layer to improve the recognition performance the modified softmax classifier uses the modified linear element as the activation function in the hidden layer and adds the local response normalization in mcnn to avoid the gradient disappearance problem effectively a series of experiments are conducted on two kinds of apple disease image datasets the results show the feasibility of the algorithm copyright © 2022 li jing and shi,convolutional neural networks crop disease recognition disease module identification modified convolutional neural networks modified softmax classifier,blank,food production
208,application progress of intelligent flavor sensing system in the production process of fermented foods based on the flavor properties,10.1080/10408398.2022.2134982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140211435&doi=10.1080%2f10408398.2022.2134982&partnerID=40&md5=2dff27ceee8417089e74eaed69c28c66,fermented foods are sensitive to the production conditions because of microbial and enzymatic activities which requires intelligent flavor sensing system ifss to monitor and optimize the production process based on the flavor properties as the simulation system of human olfaction and gustation ifss has been widely used in the field of food with the characteristics of nondestructive pollution-free and real-time detection this paper reviews the application of ifss in the control of fermentation ripening and shelf life and the potential in the identification of quality differences and flavor-producing microbes in fermented foods the survey found that electronic nose tongue is suitable to monitor fermentation process and identify food authenticity in real time based on the changes of flavor profile gas chromatography-ion mobility spectrometry and nuclear magnetic resonance technology can be used to analyze the flavor metabolism of fermented foods at various production stages and explore the correlation between flavor substances and microorganisms © 2022 taylor & francis group llc,electronic nose electronic tongue fermentation and ripening control flavor-producing microorganisms gas chromatography-ion mobility spectrometry nuclear magnetic resonance shelf life and authenticity evaluation,authentication electronic nose electronic tongues fermentation gas chromatography ion mobility spectrometers microorganisms quality control spectrometry fermentation and ripening control fermented foods flavor-producing microorganism gas chromatography-ion mobility spectrometry ion mobility spectrometry production process property sensing systems shelf life shelf life and authenticity evaluation nuclear magnetic resonance,food production
211,multidrug resistance analysis method for pathogens of cow mastitis based on weighted-association rule mining and similarity comparison,10.1016/j.compag.2021.106411,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114122369&doi=10.1016%2fj.compag.2021.106411&partnerID=40&md5=4bf446cb0a81ab23f1b77ae145a0c19d,mastitis is one of the most common diseases and causes the greatest economic loss in dairy farming antibiotics are the most effective drugs to prevent and treat bacterial infection of mastitis however yet the growing problem of drug resistance especially multidrug resistance mdr poses a great threat to disease control to understand the mdr rules in bacteria of cow mastitis from national level the main bacteria from cows with mastitis in large-scale farms were isolated and identified in china and then drug sensitivity tests were conducted to establish a drug resistance data set aiming at the problem of numerous and disordered drug resistance data and lack of extensive correlations a weighted apriori association rule mining algorithm in conjunction with the bacterial drug resistance prevalence is proposed we analyzed the associations between different antibiotics of key bacteria extracted and visualized the key trends of high resistance prevalence and frequent occurrence and discovered mdr patterns finally a similarity comparison method based on euclidean measurement was proposed to compare the relative mdr rules of different bacteria from the overall level with support confidence and promotion as characteristic parameters the drug resistance data set showed that staphylococcus were the main bacteria isolated from dairy cow mastitis in china then based on the association rule algorithm the important rules between different antibiotics resistance in this dataset were identified in addition the mdr patterns of different bacteria were visualized and analyzed by using the chord diagram the results showed the bacteria are highly resistant to penicillin gentamicin and ampicillin and most other antibiotics were linked with these three antibiotics finally the high correlations and main rules in different bacteria were confirmed by a similarity comparison method the assessment model and conclusions of this study are potentially valuable for assessing the evolution of mdr patterns providing a scientific basis for relevant authorities to guide the rational use of antibiotics in the farming industry © 2021 elsevier bv,cow mastitis drug resistance multidrug resistance similarity analysis weighted association rule mining,antibiotics association rules data mining disease control diseases losses statistical tests analysis method comparison methods cow mastiti data set drug-resistance multidrug resistance resistance analysis similarity analysis weighted association rule mining weighted association rules bacteria algorithm antibiotics dairy farming data set disease drug drug resistance pathogen china bacteria microorganisms staphylococcus,food production
215,understanding and applying deep learning,10.1162/neco_a_01518,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138710115&doi=10.1162%2fneco_a_01518&partnerID=40&md5=5a179ed7270a5226deae12acfe30a0bd,the past 10 years have witnessed an explosion in deep learning neural network model development the most common perceptual models with vision speech and text inputs are not general-purpose ai systems but tools they automatically extract clues from inputs and compute probabilities of class labels successful applications require representative training data an understanding of the limitations and capabilities of deep learning and careful attention to a complex development process the goal of this view is to foster an intuitive understanding of convolu-tional network deep learning models and how to use them with the goal of engaging a wider creative community a focus is to make it possible for experts in areas such as health education poverty and agriculture to understand the process of deep learning model development so they can help transition effective solutions to practice © 2022 massachusetts institute of technology,blank,deep learning learning systems ai systems class labels learning models learning neural networks model development neural network model perceptual modelling speech input text input training data neural network models,food production
221,crop disease recognition based on modified light-weight cnn with attention mechanism,10.1109/ACCESS.2022.3216285,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140760495&doi=10.1109%2fACCESS.2022.3216285&partnerID=40&md5=f1641323083bb9961e09eafde90ab60d,the agricultural production is greatly affected by various plant diseases classifying the severity of crop diseases is the requirement for formulating disease prevention and control strategies however the differences between different severity of the same crop disease are very tiny it increases the difficulty of correct crop disease recognition for example at the early stage of the disease the lesions on the leaves are not obvious and it is very difficult to extract the features of the lesions however these very small color and texture differences of the lesions are the key patterns to distinguish different kinds of diseases of the same species in order to achieve better performance in the fine-grained classification of the crop diseases a modified light-weight convolution neural network was proposed multi-scale convolution kernel and coordinate attention mechanism are introduced in squeezenext to extract the features of the lesions accurately the performance of the proposed model was evaluated using the ai challenger 2018 plant disease recognition dataset and the recognition accuracy can reach 9194% which is 302% point higher than the original squeezenext model in order to verify the effectiveness of the proposed model comparative experiments were carried out using resenet50 xception and mobilenetv2 the experimental results showed that the accuracy of the proposed method was slightly better than xception while the model size is only 283 mb which is only 345% of xception the proposed method balances the performance and efficiency very well thus it is suitable for deployment on mobile terminals and other embedded resource-constrained devices which help to promote the popularization of smart agriculture application © 2013 ieee,attention mechanism crop disease recognition light-weight cnn squeezenext,bandpass filters convolution crops disease control feature extraction neural networks plants botany textures attention mechanisms convolutional neural network crop disease crop disease recognition features extraction information filter light weight light-weight cnn neural-networks plant squeezenext image recognition,food production
